name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ohio,OH,0.017957861,0.016223915,0.016674607,0.017127719,0.002812862,0.006177516,0.008584558,0.007468847,0.007117977,0.008022175,0.009308211,0.009128966,0.010712289,0.010060316
Oklahoma,OK,0.249969321,0.198328267,0.191314837,0.215497919,0.04231649,0.074403,0.125096186,0.106803219,0.089196051,0.140731771,0.146189933,0.199692417,0.155457907,0.153953201
Oregon,OR,0.044178365,0.033499365,0.03649789,0.030014777,0.007469735,0.012673403,0.015905805,0.013031093,0.01861747,0.0213878,0.022202025,0.029797801,0.031405207,0.029835794
Pennsylvania,PA,0.043364811,0.041362244,0.041635125,0.045101089,0.008331576,0.014083004,0.018739683,0.01883867,0.017869907,0.019254863,0.019829424,0.024444124,0.024741475,0.025207101
Rhode Island,RI,0.006097561,0.004975124,0.004926108,0.004484305,0,0,0,0,0.002688172,0.002967359,0,0.002724796,0.002695418,0.00248139
South Carolina,SC,0.033704572,0.029118361,0.0275,0.025757576,0.005694761,0.010955711,0.012015745,0.013409962,0.011704978,0.012287335,0.013608247,0.016727193,0.015710164,0.014779943
South Dakota,SD,0.105645707,0.111430991,0.109475701,0.096229261,0.021176295,0.038002815,0.055627706,0.043256881,0.033616945,0.038486604,0.055888292,0.052208185,0.050791144,0.062944135
Tennessee,TN,0.075832306,0.056448966,0.049307666,0.050302059,0.013088633,0.019806094,0.026590331,0.035048232,0.029542593,0.025541272,0.035408338,0.034629981,0.039665838,0.030091606
Texas,TX,0.2219609,0.196827909,0.175962602,0.202070818,0.037696883,0.055694279,0.071947571,0.07899705,0.083238909,0.116413576,0.101639727,0.138127345,0.121327698,0.157544971
Utah,UT,0.174034695,0.164570231,0.164744646,0.172048436,0.038441285,0.062615101,0.05544314,0.049567532,0.051679587,0.060093559,0.059395248,0.056386419,0.064856101,0.069745523
Vermont,VT,0.084714549,0.090073529,0.069158879,0.067944251,0.012987013,0.02124431,0.02688172,0.025588536,0.018327606,0.020758769,0.019377569,0.030907278,0.02747792,0.027886881
Virginia,VA,0.058198811,0.062928082,0.058861859,0.052970388,0.010330974,0.021485111,0.030414263,0.031538018,0.028515241,0.025267613,0.035038213,0.035759551,0.029237288,0.041792295
Washington,WA,0.047058824,0.035931671,0.033886085,0.028143253,0.005297938,0.010935397,0.013134124,0.014603856,0.012983181,0.015800416,0.017047504,0.015181044,0.016284381,0.016866775
West Virginia,WV,0.134185304,0.106508876,0.121993127,0.123376623,0.027173913,0.050393701,0.068214804,0.074663403,0.068716094,0.087604846,0.081293706,0.088235294,0.090452261,0.11426844
Wisconsin,WI,0.065183164,0.059441609,0.050171038,0.052462712,0.011615184,0.019784603,0.023767495,0.023650952,0.021673811,0.026259214,0.026936425,0.034796991,0.032588512,0.043977887
Wyoming,WY,0.40842374,0.377593361,0.39609484,0.361842105,0.121291449,0.165122157,0.218194741,0.230299328,0.15993538,0.191247265,0.207312744,0.196032368,0.218683652,0.229768786
