name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ohio,OH,0.024570502,0.027246269,0.027972504,0.025383525,0.034250731,0.041552538,0.040296925,0.03388498,0.039315463,0.03968694,0.043447694,0.050158874,0.045823549,0.044133379
Oklahoma,OK,0.066511228,0.080927052,0.075392039,0.070231615,0.099500936,0.111703177,0.126085523,0.101682516,0.095119887,0.128708589,0.117852162,0.156749083,0.140882053,0.132512112
Oregon,OR,0.000619323,0.000878992,0.000738397,0.000738825,0.000686872,0.00077068,0.000688563,0.000666707,0.000956184,0.000825253,0.000779018,0.000709471,0.000451513,0.000261335
Pennsylvania,PA,0.022117296,0.0266321,0.02775675,0.033018304,0.039548618,0.045236317,0.042916788,0.034886425,0.028426898,0.032838773,0.037899787,0.043797724,0.040765747,0.036134122
Rhode Island,RI,0.006097561,0.004975124,0,0,0.004201681,0.004166667,0.003773585,0,0.002688172,0,0.002808989,0.002724796,0.002695418,0.00248139
South Carolina,SC,0.012602579,0.014019951,0.0184375,0.013888889,0.018451025,0.022377622,0.021338305,0.018007663,0.020448456,0.011342155,0.011546392,0.011885111,0.009404724,0.009634333
South Dakota,SD,0.0275524,0.03403895,0.033269465,0.030844646,0.042053277,0.048077635,0.059451659,0.035229358,0.035431665,0.035300507,0.04141141,0.04319188,0.046869468,0.038192319
Tennessee,TN,0.014385532,0.009517558,0.00810537,0.006411047,0.009531939,0.012742382,0.010814249,0.013504823,0.009987411,0.009810555,0.012074733,0.011927352,0.010458517,0.008308479
Texas,TX,0.004777304,0.00447258,0.003675552,0.002988499,0.003799978,0.004966887,0.005152681,0.003952802,0.007373834,0.009306422,0.004207855,0.006124297,0.012075338,0.009411642
Utah,UT,0.062674874,0.070754717,0.090609555,0.097880928,0.126908899,0.136740331,0.116147309,0.102129075,0.129715762,0.163008276,0.132289417,0.119037995,0.112687475,0.104241282
Vermont,VT,0.001841621,0.001838235,0.001869159,0,0,0.001517451,0.001344086,0.001023541,0.000572738,0.00071582,0.000587199,0.000997009,0.000981354,0.000785546
Virginia,VA,0.011682243,0.012842466,0.014986968,0.013978297,0.020088005,0.016396532,0.024646041,0.018001152,0.018900907,0.018172766,0.019635509,0.015299656,0.013220339,0.011390285
Washington,WA,0.000417682,0.000392696,0.000327718,0.000354003,0.000455737,0.00056079,0.000439432,0.000459964,0.000459001,0.000529201,0,0,0,0
West Virginia,WV,0.001597444,0.00147929,0.003436426,0.003246753,0.005434783,0.004724409,0.002902758,0.003671971,0.002712477,0.002795899,0.001748252,0.002205882,0.001884422,0.001813785
Wisconsin,WI,0.013225569,0.016111278,0.012447739,0.013701006,0.015486912,0.016912645,0.013995713,0.01248099,0.013541124,0.014178952,0.012383657,0.012517836,0.011450854,0.011087645
Wyoming,WY,0.021059349,0.02667457,0.020920502,0.023026316,0.038394415,0.041280539,0.040511727,0.053756872,0.073909532,0.064770241,0.067447639,0.086661446,0.079087049,0.05539499
