name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Oklahoma,OK,0.0552215,0.06902229,0.048974668,0.047070125,0.056560616,0.067199526,0.065735957,0.062667642,0.05325811,0.081999827,0.071383289,0.077546433,0.070896522,0.068961963
Oregon,OR,0.009496284,0.010645571,0.008860759,0.008034725,0.008242466,0.007878061,0.006679061,0.008242924,0.01018055,0.011278454,0.009218385,0.007196068,0.010635629,0.008493401
Pennsylvania,PA,0.079522863,0.086966769,0.073555387,0.083622443,0.072031217,0.081510722,0.072240023,0.087293589,0.083796118,0.090009891,0.071321962,0.081544446,0.08020682,0.075345168
Rhode Island,RI,0.012195122,0.009950249,0.009852217,0.00896861,0.008403361,0.008333333,0.011320755,0.010714286,0.008064516,0.005934718,0.002808989,0.005449591,0.005390836,0.004962779
South Carolina,SC,0.165592028,0.18172014,0.16625,0.150252525,0.155353075,0.196037296,0.176921483,0.230651341,0.215061345,0.243068683,0.214570447,0.205238252,0.223682804,0.225640464
South Dakota,SD,0.00591616,0.007112616,0.006357777,0.006184012,0.006659683,0.006593081,0.007503608,0.00793578,0.006604391,0.007277335,0.00787159,0.007909513,0.008796536,0.007106167
Tennessee,TN,0.054665023,0.069740729,0.049814252,0.042288251,0.059325651,0.072437673,0.061832061,0.066237942,0.060092321,0.061315968,0.058986701,0.055841692,0.051846183,0.046602045
Texas,TX,0.047221814,0.052122755,0.043535667,0.040691883,0.043424386,0.051405928,0.039511801,0.045132743,0.050588338,0.072214024,0.050360673,0.048764358,0.053617447,0.069256463
Utah,UT,0.047565753,0.050314465,0.055464031,0.048940464,0.041600843,0.04281768,0.044111696,0.05322688,0.050645995,0.051457359,0.052915767,0.04668553,0.050668829,0.042412818
Vermont,VT,0.011049724,0.011029412,0.011214953,0.010452962,0.00974026,0.009104704,0.008064516,0.01432958,0.005727377,0.005010737,0.004110393,0.00448654,0.004906771,0.003534957
Virginia,VA,0.168011895,0.187071918,0.13835795,0.127643921,0.146355462,0.182811911,0.156790771,0.164890553,0.14618158,0.161812298,0.165432099,0.149103748,0.152542373,0.146566164
Washington,WA,0.010859729,0.011322731,0.008979485,0.009676087,0.010254073,0.009813818,0.008153899,0.009505922,0.010163601,0.00986581,0.009015507,0.009129141,0.009333731,0.008699705
West Virginia,WV,0.314696486,0.328402367,0.283505155,0.318181818,0.367753623,0.414173228,0.364296081,0.392900857,0.337251356,0.342963653,0.340909091,0.333823529,0.331030151,0.314389359
Wisconsin,WI,0.025401491,0.027519263,0.021094641,0.020378078,0.020452824,0.02504986,0.023263145,0.027898684,0.014943312,0.017096642,0.012186465,0.011188222,0.01241025,0.020187589
Wyoming,WY,0,0,0,0,0,0,0.000710732,0.000610874,0.000403877,0.000437637,0.000354988,0.000261028,0.000265393,0.000240848
